14-8515,5/31/2014,LISBON,,CT,PLAINFIELD,,CT,"(41.67731, -71.918131)"
12-12055,8/27/2012,NEW HAVEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
13-3061,2/19/2013,WOODBURY,LITCHFIELD,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
14-8351,5/27/2014,NEW BRITAIN,,CT,NEW BRITAIN,HARTFORD,CT,"(41.667528, -72.783437)"
13-10313,7/12/2013,COLCHESTER,NEW LONDON,CT,EAST HARTFORD,HARTFORD,CT,"(41.769319, -72.643785)"
13-19233,12/31/2013,VERNON,TOLLAND,CT,VERNON,TOLLAND,CT,"(41.818792, -72.479029)"
12-11530,8/15/2012,NEW HAVEN,NEW HAVEN,CT,NEW HAVEN,NEW HAVEN,CT,"(41.308252, -72.924161)"
14-2618,2/16/2014,BROAD BROOK,,CT,HARTFORD,,CT,"(41.765775, -72.673356)"
13-7688,5/19/2013,WEST HAVEN,NEW HAVEN,CT,WEST HAVEN,NEW HAVEN,CT,"(41.272336, -72.949817)"
15-6922,4/21/2015,UNCASVILLE,NEW LONDON,CT,UNCASVILLE,NEW LONDON,CT,"(41.434399, -72.110298)"
14-13575,9/9/2014,NAUGATUCK,,CT,NAUGATUCK,NEW HAVEN,CT,"(41.491113, -73.056564)"
14-14885,10/5/2014,BRISTOL,,CT,BRISTOL,HARTFORD,CT,"(41.673037, -72.945791)"
12-13673,9/30/2012,MIDDLETOWN,MIDDLESEX,CT,MIDDLETOWN,MIDDLESEX,CT,"(41.544654, -72.651713)"
14-11793,8/4/2014,BRIDGEPORT,,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
15-9101,5/31/2015,STRATFORD,FAIRFIELD,CT,STRATFORD,FAIRFIELD,CT,"(41.200888, -73.131323)"
12-11672,8/18/2012,NEW LONDON,NEW LONDON,CT,NEW LONDON,NEW LONDON,CT,"(41.355167, -72.099561)"
13-15629,10/27/2013,PALMER,HAMPDEN,CT,STAFFORD,TOLLAND,CT,"(41.98469, -72.290196)"
15-4948,3/18/2015,MERIDEN,NEW HAVEN,CT,MERIDEN,NEW HAVEN,CT,"(41.537589, -72.8011)"
14-2366,2/11/2014,STAMFORD,,CT,NORWALK,,CT,"(41.11805, -73.412906)"
12-13932,10/4/2012,EAST LYME,NEW LONDON,CT,NEW LONDON,NEW LONDON,CT,"(41.355167, -72.099561)"
14-5880,4/13/2014,WETHERSFIELD,,CT,WETHERSFIELD,HARTFORD,CT,"(41.712487, -72.663607)"
13-7566,5/16/2013,NEW BRITAIN,HARTFORD,CT,NEW BRITAIN,HARTFORD,CT,"(41.667528, -72.783437)"
Dec-77,4/3/2012,WOLCOTT,NEW HAVEN,CT,NAUGATUCK,NEW HAVEN,CT,"(41.491113, -73.056564)"
15-1876,1/30/2015,NORWICH,NEW LONDON,CT,NORWICH,NEW LONDON,CT,"(41.524304, -72.075821)"
14-8711,6/4/2014,ENFIELD,,CT,ENFIELD,HARTFORD,CT,"(41.976501, -72.591985)"
15-3591,2/25/2015,NEW LONDON,NEW LONDON,CT,NEW LONDON,NEW LONDON,CT,"(41.355167, -72.099561)"
13-18446,12/17/2013,BRIDGEPORT,FAIRFIELD,CT,BRIDGEPORT,FAIRFIELD,CT,"(41.179195, -73.189476)"
Dec-53,3/23/2012,NAUGATUCK,NEW HAVEN,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
15-14182,9/2/2015,TARIFFVILLE,HARTFORD,CT,TARIFFVILLE,HARTFORD,CT,"(41.909606, -72.761945)"
13-184,1/3/2013,NORWICH,NEW LONDON,CT,NORWICH,NEW LONDON,CT,"(41.524304, -72.075821)"
15-7102,4/24/2015,ENFIELD,HARTFORD,CT,HARTFORD,HARTFORD,CT,"(41.765775, -72.673356)"
13-14818,10/13/2013,CHESHIRE,NEW HAVEN,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
14-14743,10/2/2014,WATERBURY,,CT,WATERBURY,NEW HAVEN,CT,"(41.554261, -73.043069)"
12-10000,7/15/2012,SHELTON,FAIRFIELD,CT,SHELTON,FAIRFIELD,CT,"(41.316843, -73.092968)"
15-14181,9/2/2015,DARIEN,FAIRFIELD,CT,DARIEN,FAIRFIELD,CT,"(41.080002, -73.467371)"
12-15843,11/11/2012,MERIDEN,NEW HAVEN,CT,WALLINGFORD,NEW HAVEN,CT,"(41.454408, -72.818414)"
15-1124,1/19/2015,WEST HAVEN,NEW HAVEN,CT,WEST HAVEN,NEW HAVEN,CT,"(41.272336, -72.949817)"
